Player Name,Salary,Position,Age,Team,GP,MP,PTS,AST,TRB,WS,PER,USG%,BPM,VORP,log_salary,salary_per_WS,pts_per_dollar,PER_salary_ratio,IF_label,IF_score,LOF_label,LOF_score
Tre Mann,3046200,PG,21,OKC,67,17.7,7.7,1.8,2.3,0.5,10.0,20.7,-3.9,-0.6,14.929405470163541,2030800.0,2.5277394786947673,3.2827785437594383,1,0.09932370499198867,1,-1.0035783083478163
Kevin Knox,3000000,SF-PF,23,DET/POR,63,15.1,6.6,0.5,2.8,0.7,11.1,18.4,-3.5,-0.4,14.914122846632385,1764705.8823529412,2.1999999999999997,3.6999999999999997,1,0.10306121246275779,1,-0.9766948706074675
Saddiq Bey,2959080,SF,23,DET/ATL,77,27.6,13.8,1.5,4.7,3.9,14.6,20.2,-0.3,0.9,14.900388967177742,603893.8775510204,4.663611663084472,4.933965962393716,1,0.0822767119789618,1,-1.0601093794462049
Malaki Branham,2925600,SG,19,SAS,66,23.5,10.2,1.9,2.7,-0.1,9.5,19.1,-5.2,-1.3,14.88901014581731,2659636.3636363633,3.4864643150123045,3.2471971561389115,1,0.04404269638513619,1,-1.1498200039954636
Kai Jones,2909040,C,22,CHO,46,12.0,3.4,0.3,2.7,0.7,10.8,12.4,-4.0,-0.3,14.883333687812502,1711200.0,1.168770453482936,3.7125649698869734,1,0.08065564145329285,1,-0.9774352843932442
Blake Griffin,2905851,C,33,BOS,41,13.9,4.1,1.5,3.8,1.8,13.1,12.7,0.1,0.3,14.882236848570043,1037803.9285714286,1.4109463974580938,4.508145806512446,1,0.10704625919111138,1,-1.0112712380445312
Wesley Matthews,2905851,SF,36,MIL,52,15.8,3.4,0.7,2.2,1.2,7.0,9.8,-2.7,-0.1,14.882236848570043,1320841.3636363635,1.1700531100871998,2.408932873708941,1,0.07896569161515155,1,-1.0194839123040966
Austin Rivers,2905851,SG,30,MIN,52,19.5,4.9,1.4,1.6,1.3,7.4,10.5,-2.8,-0.2,14.882236848570043,1263413.4782608696,1.6862530115962588,2.5465861807780232,1,0.0966284275933933,1,-0.9948356668283524
Bismack Biyombo,2905851,C,30,PHO,61,14.3,4.3,0.9,4.3,1.9,14.4,14.0,-0.9,0.2,14.882236848570043,1002017.5862068966,1.479773050992635,4.955519054486964,1,0.10523132447644123,1,-1.006055672020911
Precious Achiuwa,2840160,C,23,TOR,55,20.7,9.2,0.9,6.0,2.2,15.2,19.4,-2.3,-0.1,14.85937094657863,887550.0,3.2392541265280825,5.351811165568137,1,0.09826485619823055,1,-1.058879317531392
Christian Braun,2808600,SG,21,DEN,76,15.5,4.7,0.8,2.4,1.9,10.3,13.0,-2.4,-0.1,14.848196696516217,968482.7586206897,1.673431602933846,3.6673075553656624,1,0.11806802227951846,1,-0.9798239144360907
Jordan Nwora,2800000,SF,24,MIL/IND,62,19.2,8.7,1.4,3.7,1.5,12.2,19.4,-2.1,0.0,14.845129975145433,1120000.0,3.107142857142857,4.357142857142857,1,0.12015150021047982,1,-0.9972330943899061
Jalen Johnson,2792640,SF,21,ATL,70,14.9,5.6,1.2,4.0,2.1,14.1,16.0,0.3,0.6,14.842497942957083,900851.6129032258,2.0052709980520222,5.048985905809556,1,0.1065519181220001,1,-0.9970223731829824
Tyrese Maxey,2726880,SG,22,PHI,60,33.6,20.3,3.5,2.9,5.4,17.0,24.1,0.6,1.3,14.818668656459064,426075.0,7.444405327700522,6.234231062606349,-1,-0.005008651946976861,-1,-1.2839462351928044
Walker Kessler,2696400,C,21,UTA,74,23.0,9.2,0.9,8.4,7.1,21.5,13.3,2.9,2.1,14.807428107961421,332888.8888888889,3.41195668298472,7.973594422192552,-1,-0.031743567409962536,-1,-1.3347970715780222
Charles Bassey,2674742,C,22,SAS,35,14.5,5.7,1.3,5.5,1.3,18.8,15.6,0.6,0.3,14.799363485062647,1162931.3043478262,2.1310466579580387,7.0287152929142325,1,0.08119178589574488,1,-1.0770226590773546
Trey Lyles,2625000,PF,27,SAC,74,16.9,7.6,0.9,4.1,2.6,14.2,18.1,-1.0,0.3,14.780591454007862,729166.6666666666,2.895238095238095,5.409523809523809,1,0.11570050855592962,1,-0.9824492484769836
Zeke Nnaji,2617800,PF,22,DEN,53,13.7,5.2,0.3,2.6,1.6,12.5,15.2,-3.7,-0.3,14.777844828339756,1006846.1538461538,1.986400794560318,4.775001910000764,1,0.09325429805839808,1,-0.9625952463563021
David Roddy,2588640,PF,21,MEM,70,18.0,6.7,0.8,2.8,1.1,8.8,16.7,-3.9,-0.6,14.766643199239164,1232685.7142857143,2.588231658322517,3.399468446751963,1,0.1037770463422063,1,-0.971041009742007
Isaiah Jackson,2573760,C,21,IND,63,16.5,7.2,0.8,4.5,2.7,17.5,17.4,-0.8,0.3,14.760878422697841,695610.8108108108,2.7974636329727716,6.799390774586597,1,0.10014930096744629,1,-1.0269563410313003
MarJon Beauchamp,2485200,SF,22,MIL,52,13.5,5.1,0.7,2.2,0.4,8.2,18.3,-4.8,-0.5,14.725863697171675,1775142.8571428573,2.0521487204249156,3.299533236761629,1,0.0949545045481821,1,-1.0008736239215683
Usman Garuba,2471160,C,20,HOU,75,12.9,3.0,0.9,4.1,1.8,12.9,10.5,-1.4,0.2,14.720198233987395,882557.142857143,1.214004758898655,5.220220463264217,1,0.09016810671552239,1,-1.0461529909617329
Raul Neto,2463490,PG,30,CLE,48,10.5,3.3,1.6,1.0,1.5,12.6,13.2,-0.2,0.2,14.717089601692644,985396.0,1.3395629777267208,5.114695005865662,1,0.08382035595836668,1,-1.0280109854097508
Montrezl Harrell,2463490,C,29,PHI,57,11.9,5.6,0.6,2.8,2.2,17.6,18.9,-1.3,0.1,14.717089601692644,769840.625,2.2731977803847383,7.144335881209179,1,0.08672430310447282,1,-1.079747003232875
Blake Wesley,2385480,SG,19,SAS,37,18.1,5.0,2.7,2.2,-1.6,3.5,18.5,-9.6,-1.3,14.684910919916568,917492.3076923076,2.0960142193604643,1.467209953552325,-1,-0.03263773167984141,-1,-1.7252083847951465
Josh Christopher,2372160,SG,21,HOU,64,12.3,5.8,1.1,1.1,0.0,11.5,21.9,-4.3,-0.5,14.679311490450493,2372160.0,2.4450290031026576,4.847902333738028,1,0.06406034033813407,1,-1.1205056519498324
Lindy Waters III,2316876,SG,25,OKC,41,13.0,5.2,0.7,1.8,1.1,11.8,15.5,0.1,0.3,14.655730284502903,1103274.2857142857,2.2444015130719124,5.093064971970878,1,0.10041822380498233,1,-1.0023474098948493
Immanuel Quickley,2316240,SG,23,NYK,81,28.9,14.9,3.4,4.2,6.7,16.3,20.9,1.7,2.1,14.655455739249128,300810.3896103896,6.432839429420095,7.037267295271647,1,0.014669894123956195,-1,-1.2649392697405426
John Konchar,2300000,SF,26,MEM,72,20.8,5.1,1.4,4.3,3.5,10.8,10.4,0.5,0.9,14.648419680899378,511111.1111111111,2.217391304347826,4.695652173913044,1,0.0858498689371463,1,-1.084013260150915
