Player Name,season,Team,Position,Age,Salary,fair_salary,residual_dollars,residual_pct,PTS,AST,TRB,WS,PER,VORP,IF_label,IF_score,LOF_label,LOF_score
Toumani Camara,2023-24,POR,PF,23.0,1119563,3978753.4050285956,-2859190.4050285956,-0.0210202130923063,7.5,1.2,4.9,2.0,10.6,-0.5,1,0.09355628326451548,1,-0.9863106294551394
Dewayne Dedmon,2021-22,MIA,C,32.0,1669178,4529084.635939667,-2859906.635939667,-0.025440840428591342,6.3,0.7,5.8,3.5,15.9,0.3,1,0.06395393499561142,1,-1.0264726248518092
Chris Boucher,2020-21,TOR,C,28.0,6750000,9611046.821540512,-2861046.821540512,-0.026214466021078534,13.6,1.1,6.7,6.1,21.9,2.0,1,0.027827901912904796,1,-1.05468187990134
Oshae Brissett,2020-21,IND,SF,22.0,757453,3623944.212639223,-2866491.212639223,-0.026264350491471713,10.9,0.9,5.5,1.8,17.2,0.3,1,0.022616810113387953,-1,-1.353530560626778
Cade Cunningham,2024-25,DET,PG,23.0,13940658,16815195.834179588,-2874537.8341795877,-0.020446537643181398,26.1,9.1,6.1,5.9,20.6,3.7,-1,-0.03616615602539319,1,-1.0836680011271473
Patrick Patterson,2019-20,LAC,PF,30.0,1620564,4501701.8784344625,-2881137.8784344625,-0.02639855120427398,4.9,0.7,2.6,1.9,11.5,0.5,1,0.060073566685495905,1,-1.0470906876923234
Peyton Watson,2024-25,DEN,SF,22.0,2413560,5300487.377198324,-2886927.3771983236,-0.020534664247292254,8.1,1.4,3.4,2.5,11.4,0.1,1,0.07193323933585738,-1,-1.2539585714486015
DeMar DeRozan,2023-24,CHI,SF,34.0,28600000,31491723.358386952,-2891723.3583869524,-0.021259389053064986,24.0,5.3,4.3,9.2,19.7,2.8,1,0.003752037493714666,-1,-1.2168721497487813
Luke Kornet,2024-25,BOS,C,29.0,2087519,4987124.003526504,-2899605.003526504,-0.020624839982975103,6.0,1.6,5.3,7.0,19.6,1.8,1,0.0272948701050425,1,-1.1010512493074036
Jalen Brunson,2020-21,DAL,PG,24.0,1663861,4582728.738864691,-2918867.738864691,-0.02674425269254802,12.6,3.5,3.4,5.1,17.1,1.2,1,0.08114686667722915,1,-1.0276529318145469
LaMarcus Aldridge,2019-20,SAS,C,34.0,26000000,28920478.00636667,-2920478.00636667,-0.026759006838617094,18.9,2.4,7.4,4.5,19.7,1.5,1,0.02419712777089128,1,-1.082280321601868
