Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Xavier Tillman Sr.,C,24.0,MEM,61.0,29.0,19.3,0.614,0.267,0.551,5.0,1.6,1.0,0.5,0.7,1.6,7.0,17.3,0.621,13.7,2.3,1.9,4.2,0.171,0.3,1.7,1.9,1.2,1901625,1177.0
Pat Connaughton,SF,30.0,MIL,61.0,33.0,23.7,0.392,0.339,0.659,4.6,1.3,0.6,0.2,0.5,1.1,7.6,10.0,0.531,13.8,0.7,1.8,2.5,0.085,-1.3,0.3,-1.0,0.3,5728393,1446.0
Josh Green,SG,22.0,DAL,60.0,21.0,25.7,0.537,0.402,0.723,3.0,1.7,0.7,0.1,1.2,2.6,9.1,11.2,0.645,14.6,1.7,0.9,2.6,0.082,-1.9,-0.6,-2.4,-0.2,3098400,1542.0
Cole Anthony,PG,22.0,ORL,60.0,4.0,25.9,0.454,0.364,0.894,4.8,3.9,0.6,0.5,1.5,2.6,13.0,16.0,0.57,21.5,2.1,1.7,3.7,0.116,0.7,0.5,1.3,1.3,3613680,1554.0
Kyrie Irving,SG,30.0,2TM,60.0,60.0,37.4,0.494,0.379,0.905,5.1,5.5,1.1,0.8,2.1,2.8,27.1,22.4,0.613,28.9,5.4,2.0,7.4,0.159,4.8,-0.7,4.1,3.5,38917057,2244.0
Tyrese Maxey,SG,22.0,PHI,60.0,41.0,33.6,0.481,0.434,0.845,2.9,3.5,0.8,0.1,1.3,2.2,20.3,17.0,0.605,24.1,3.7,1.6,5.4,0.128,1.9,-1.2,0.6,1.3,2726880,2016.0
Ish Wainright,SF,28.0,PHO,60.0,2.0,15.3,0.37,0.329,0.839,2.3,0.9,0.6,0.4,0.4,2.0,4.2,9.2,0.522,12.2,0.5,1.2,1.7,0.089,-2.7,1.5,-1.2,0.2,474851,918.0
Markelle Fultz,PG,24.0,ORL,60.0,60.0,29.6,0.514,0.31,0.783,3.9,5.7,1.5,0.4,2.3,2.2,14.0,16.6,0.564,21.3,1.7,2.0,3.7,0.1,-0.1,0.7,0.5,1.2,16500000,1776.0
Norman Powell,SG,29.0,LAC,60.0,8.0,26.1,0.479,0.397,0.812,2.9,1.8,0.8,0.3,1.7,2.1,17.0,17.1,0.612,26.0,2.1,1.4,3.5,0.107,0.9,-0.7,0.3,0.9,16758621,1566.0
Vlatko Čančar,PF,25.0,DEN,60.0,9.0,14.8,0.476,0.374,0.927,2.1,1.3,0.4,0.2,0.6,1.4,5.0,11.0,0.606,13.8,0.9,0.8,1.7,0.093,-1.7,-0.1,-1.8,0.0,2234359,888.0
Dyson Daniels,PG,19.0,NOP,59.0,11.0,17.7,0.418,0.314,0.65,3.2,2.3,0.7,0.2,1.0,1.7,3.8,8.8,0.503,11.6,-0.1,1.4,1.3,0.061,-3.4,1.6,-1.8,0.0,5508600,1044.0
Bojan Bogdanović,PF,33.0,DET,59.0,59.0,32.1,0.488,0.411,0.884,3.8,2.6,0.6,0.1,2.3,1.9,21.6,17.4,0.627,25.9,3.1,0.4,3.5,0.09,2.6,-1.8,0.8,1.4,19550000,1894.0
Anthony Gill,PF,30.0,WAS,59.0,8.0,10.6,0.538,0.138,0.731,1.7,0.6,0.1,0.2,0.3,1.2,3.3,11.1,0.604,12.3,1.0,0.4,1.3,0.101,-2.4,-0.9,-3.3,-0.2,1836090,625.0
Mitchell Robinson,C,24.0,NYK,59.0,58.0,27.0,0.671,,0.484,9.4,0.9,0.9,1.8,0.7,2.7,7.4,18.9,0.652,10.1,4.0,2.6,6.5,0.197,1.0,1.4,2.4,1.7,17045454,1593.0
Ochai Agbaji,SG,22.0,UTA,59.0,22.0,20.5,0.427,0.355,0.812,2.1,1.1,0.3,0.3,0.7,1.7,7.9,9.5,0.561,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,3918360,1210.0
Kevin Porter Jr.,PG,22.0,HOU,59.0,59.0,34.3,0.442,0.366,0.784,5.3,5.7,1.4,0.3,3.2,2.6,19.2,16.2,0.565,24.3,1.9,1.0,2.9,0.068,1.4,-0.8,0.6,1.3,3217631,2024.0
Chris Paul,PG,37.0,PHO,59.0,59.0,32.0,0.44,0.375,0.831,4.3,8.9,1.5,0.4,1.9,2.1,13.9,17.7,0.555,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,28400000,1888.0
Nickeil Alexander-Walker,SG,24.0,2TM,59.0,3.0,15.0,0.444,0.384,0.667,1.7,1.8,0.5,0.4,0.9,1.5,6.2,11.6,0.565,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,5009633,885.0
Luke Kennard,SG,26.0,2TM,59.0,14.0,22.3,0.492,0.494,0.949,2.7,1.5,0.5,0.1,0.8,1.4,9.3,13.0,0.684,14.5,2.2,1.2,3.4,0.124,0.6,-0.1,0.5,0.8,14415545,1316.0
Thomas Bryant,C,25.0,2TM,59.0,26.0,18.3,0.623,0.441,0.738,5.7,0.5,0.3,0.5,0.6,1.7,9.8,19.7,0.682,18.2,2.7,1.4,4.1,0.183,1.1,-0.5,0.6,0.7,1836090,1080.0
Goran Dragić,PG,36.0,2TM,58.0,0.0,15.0,0.421,0.359,0.689,1.4,2.6,0.2,0.1,1.1,1.1,6.3,10.3,0.514,21.1,-0.3,0.7,0.4,0.025,-2.1,-1.8,-3.9,-0.4,390433,870.0
Desmond Bane,SG,24.0,MEM,58.0,58.0,31.7,0.479,0.408,0.883,5.0,4.4,1.0,0.4,2.2,2.6,21.5,19.1,0.606,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,2130240,1839.0
Christian Koloko,C,22.0,TOR,58.0,19.0,13.8,0.48,0.083,0.627,2.9,0.5,0.4,1.0,0.3,2.2,3.1,11.4,0.517,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3,1500000,800.0
Yuta Watanabe,SF,28.0,BRK,58.0,1.0,16.0,0.491,0.444,0.723,2.4,0.8,0.4,0.3,0.4,1.4,5.6,12.1,0.637,13.1,1.3,0.9,2.1,0.111,-0.4,-0.2,-0.6,0.3,1762796,928.0
James Harden,PG,33.0,PHI,58.0,58.0,36.8,0.441,0.385,0.867,6.1,10.7,1.2,0.5,3.4,1.9,21.0,21.6,0.607,25.0,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4.0,33000000,2134.0
Damian Lillard,PG,32.0,POR,58.0,58.0,36.3,0.463,0.371,0.914,4.8,7.3,0.9,0.3,3.3,1.9,32.2,26.7,0.645,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9,42492492,2105.0
Dario Šarić,C,28.0,2TM,57.0,12.0,14.1,0.458,0.391,0.829,3.6,1.3,0.4,0.1,1.0,1.7,6.4,13.5,0.583,19.2,0.7,1.0,1.7,0.099,-1.5,0.1,-1.4,0.1,9240000,804.0
JaMychal Green,PF,32.0,GSW,57.0,1.0,14.0,0.54,0.378,0.776,3.6,0.9,0.4,0.4,0.9,1.8,6.4,15.5,0.65,17.5,1.2,1.0,2.2,0.133,-0.7,0.2,-0.5,0.3,1836090,798.0
Montrezl Harrell,C,29.0,PHI,57.0,7.0,11.9,0.598,0.0,0.693,2.8,0.6,0.3,0.4,0.6,1.3,5.6,17.6,0.631,18.9,1.3,0.8,2.2,0.153,-0.9,-0.4,-1.3,0.1,2463490,678.0
